Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-06-25,186.9375,187.75,182.6875,184.4375,184.4375,588816,92
2018-06-26,186.9375,196.6875,183.625,195.5625,195.5625,512608,93
2018-06-27,201.0625,208.6875,200.75,205.125,205.125,492832,94
2018-06-28,206.75,213.625,205.9375,209.75,209.75,453088,95
2018-06-29,212.75,216.5,212.4375,214.875,214.875,343744,96
2018-07-02,213.1875,213.1875,208.4375,209.3125,209.3125,324928,97
2018-07-03,215,216.6875,202.6875,207.125,207.125,409616,98
2018-07-05,210.3125,211.875,202.125,204.8125,204.8125,395840,99
2018-07-06,202.25,209.8125,201.9375,208.9375,208.9375,325888,100
2018-07-09,210.25,212.8125,206.6875,212.75,212.75,266992,101
2018-07-10,215.8125,217.4375,212.5,214.625,214.625,217952,102
2018-07-11,209.75,213.875,190.5625,193.6875,193.6875,825696,103
2018-07-12,194.9375,196.9375,188.9375,195.25,195.25,506048,104
2018-07-13,196.375,202.875,195.625,197.4375,197.4375,403072,105
2018-07-16,190.0625,190.875,180.875,183.125,183.125,593152,106
2018-07-17,180.4375,185.6875,178.875,183.125,183.125,786288,107
2018-07-18,180.625,187.4375,178.8125,187.0625,187.0625,494416,108
2018-07-19,186.6875,192.25,185.4375,187.6875,187.6875,569952,109
2018-07-20,189.5,190.4375,186.375,188.3125,188.3125,337392,110
2018-07-23,193,195.125,185.75,186.8125,186.8125,427680,111
2018-07-24,187.5,193.625,187.4375,190.4375,190.4375,273232,112
2018-07-25,192.0625,197.25,189.125,195.625,195.625,356416,113
2018-07-26,193.5,198.5625,193.25,196.875,196.875,294272,114
2018-07-27,196.375,197.8125,189.3125,192.8125,192.8125,265520,115
2018-07-30,200.125,201.4375,198.1875,198.75,198.75,221616,116
2018-07-31,194.25,194.75,190.4375,191.875,191.875,256016,117
2018-08-01,186.1875,190,184,186.5,186.5,360256,118
2018-08-02,184.4375,195.0625,183.6875,193.3125,193.3125,274528,119
2018-08-03,192.125,193.25,186.9375,191,191,265152,120
