YEAR,Car_Age,MILEAGE,CAR_PRICE
2005,18,"116,423","7,988"
2010,13,"104,000","11,950"
2015,8,"51,000","16,450"
2016,7,46700,18950
2017,6,35000,19831
2018,5,41000,17797
2019,4,37000,22888
2020,3,58000,22990
2021,2,60000,21444
2022,1,11000,28288
2030,0,0,29497
